fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
216     0.038564429     0.025597697     330.054     32.636    267.872     147.586    0.010000
217     0.029777184     0.033772450     330.023     34.444    257.360     146.340    0.020000
218     0.021079743     0.024326060     335.509     35.055    264.804     147.942    0.000000
219     0.029089978     0.024943359     322.965     30.875    264.554     146.942    0.010000
220     0.024437241     0.030426349     327.037     32.275    256.829     144.851    0.010000
221     0.032904156     0.033223487     328.704     32.495    258.293     147.784    0.020000
222     0.043781750     0.028241904     324.936     33.651    268.631     149.534    0.000000
223     0.036809172     0.023484396     329.887     33.451    258.918     145.956    0.010000
224     0.025034273     0.021474706     320.840     30.896    262.316     147.422    0.010000
225     0.023936743     0.033019528     326.965     34.207    261.103     147.819    0.000000
226     0.027316401     0.022894988     325.061     33.841    254.026     147.380    0.020000
227     0.028028864     0.023040721     321.119     31.746    262.380     148.812    0.010000
228     0.033848032     0.025654906     322.118     32.551    257.338     148.503    0.010000
229     0.039276741     0.027998999     325.291     34.884    261.215     148.702    0.010000
230     0.026518747     0.028173503     323.215     33.087    259.066     148.597    0.000000
231     0.029923076     0.023983911     326.263     34.293    256.129     148.147    0.020000
232     0.030266533     0.026746502     327.929     35.031    255.241     148.386    0.000000
233     0.025684284     0.025815297     324.620     34.120    251.253     145.043    0.020000
234     0.025539156     0.021236779     327.913     35.609    249.735     146.532    0.000000
235     0.022082200     0.029691756     323.045     35.953    258.492     149.381    0.020000
236     0.041212354     0.021711677     327.255     36.397    257.496     149.557    0.010000
237     0.044519845     0.024901550     321.913     36.080    253.406     146.036    0.000000
238     0.028066855     0.022081181     322.048     34.718    237.696     144.991    0.020000
239     0.026569866     0.022805646     318.633     34.049    255.837     147.894    0.010000
240     0.030053169     0.021337237     322.790     36.924    241.169     143.987    0.010000
241     0.022337012     0.031245274     320.866     36.661    247.340     146.493    0.000000
242     0.025079645     0.027523628     316.167     35.470    243.574     144.884    0.020000
243     0.022137240     0.022470118     320.653     37.058    256.487     149.792    0.000000
244     0.056589615     0.029564783     320.004     37.130    241.607     144.389    0.020000
245     0.019602200     0.023039138     320.483     35.677    235.037     142.552    0.010000
246     0.022743411     0.023087224     321.335     36.116    259.088     148.472    0.000000
247     0.041147105     0.020197732     324.821     37.740    263.430     149.981    0.010000
248     0.042575039     0.023847150     314.282     33.827    259.702     148.592    0.010000
249     0.033150151     0.023112230     313.477     33.906    258.863     149.112    0.010000
250     0.023679389     0.021118004     316.176     35.031    260.696     149.125    0.020000
251     0.044986870     0.026624303     319.115     34.649    238.146     146.716    0.000000
252     0.019926112     0.025587631     315.129     35.064    248.179     147.344    0.010000
253     0.024943225     0.023341650     321.892     38.694    257.369     149.827    0.000000
254     0.046070885     0.030926256     313.898     34.746    242.795     146.554    0.010000
255     0.023457153     0.020371774     320.251     38.019    246.760     147.736    0.010000
256     0.025139200     0.030918501     313.527     34.047    246.276     149.114    0.010000
257     0.034726415     0.024357723     318.853     37.433    254.148     149.152    0.010000
258     0.034665704     0.027671907     317.490     36.102    246.115     148.345    0.010000
259     0.030152608     0.023573110     316.138     33.960    243.947     148.833    0.010000
260     0.038059033     0.023211980     318.056     36.330    245.606     148.048    0.010000
261     0.026800275     0.028279293     314.399     34.675    243.801     148.011    0.010000
262     0.037879873     0.021978995     318.050     35.291    246.817     149.594    0.010000
263     0.040303208     0.025659805     325.373     38.179    240.820     148.341    0.010000
264     0.031442106     0.028375387     324.630     37.919    248.202     148.551    0.010000
265     0.029631868     0.026274748     326.349     37.446    248.035     149.242    0.010000
266     0.032768998     0.024273366     318.300     33.769    239.243     146.529    0.010000
267     0.026338240     0.021111302     317.473     32.888    238.337     149.907    0.010000
268     0.043502092     0.027757613     324.481     36.511    240.571     148.299    0.010000
269     0.031158183     0.029109433     324.099     35.066    237.039     149.139    0.010000
270     0.030617770     0.022279046     324.038     34.737    244.175     148.678    0.010000
271     0.028349550     0.024557071     324.987     35.884    230.831     146.040    0.010000
272     0.022402652     0.025756447     327.778     36.243    235.384     147.282    0.010000
273     0.029501868     0.027776487     321.310     35.922    228.803     146.314    0.010000
274     0.023277290     0.026424382     325.310     35.173    237.492     149.442    0.010000
275     0.039961349     0.025709014     323.392     34.281    239.829     149.905    0.010000
276     0.044954248     0.023271341     327.482     36.299    242.386     148.538    0.010000
277     0.030245878     0.027431371     329.349     35.094    236.563     149.291    0.010000
278     0.038615793     0.027384168     323.779     36.592    239.136     149.948    0.010000
279     0.037863627     0.024843464     328.679     36.476    238.693     149.632    0.000000
280     0.046261132     0.023156142     325.500     37.265    245.723     149.771    0.020000
281     0.040488154     0.023886357     322.665     35.543    241.075     149.939    0.000000
282     0.033671711     0.025091376     324.962     37.300    242.691     148.753    0.020000
283     0.033785421     0.024114506     325.444     37.409    235.363     146.806    0.010000
284     0.022213904     0.021956304     329.840     37.250    243.466     149.811    0.000000
285     0.041199859     0.024153633     326.576     37.795    243.292     149.289    0.010000
286     0.036134843     0.023945831     325.712     37.518    238.749     148.091    0.020000
287     0.030137435     0.025001746     325.992     37.272    240.994     149.170    0.000000
288     0.041016310     0.020915978     323.976     37.256    236.663     149.270    0.020000
289     0.037300482     0.024115250     328.686     36.612    240.002     148.518    0.010000
290     0.026109954     0.021124570     328.321     38.742    241.275     148.329    0.000000
291     0.030735046     0.031514563     331.334     39.300    239.472     149.777    0.010000
292     0.037532385     0.023516338     334.247     38.685    244.915     148.863    0.010000
293     0.032562532     0.023359636     325.335     37.564    235.561     147.058    0.020000
294     0.022845414     0.021797808     324.110     35.974    246.676     148.890    0.000000
295     0.037256978     0.023080429     330.567     33.916    239.039     147.212    0.020000
296     0.024600124     0.025490232     331.710     37.747    246.222     149.645    0.000000
297     0.035705350     0.033263665     331.997     35.254    239.058     148.851    0.010000
298     0.033881821     0.026781540     329.483     36.135    236.496     149.495    0.020000
299     0.031149000     0.030038862     333.507     36.047    239.029     149.470    0.000000
300     0.032131080     0.022789251     331.006     35.230    240.851     148.836    0.010000
301     0.035309266     0.026430916     334.655     35.952    240.953     149.389    0.010000
302     0.044059828     0.026827550     335.969     36.354    224.165     147.280    0.010000
