fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
227     0.001720362     0.002654386     320.972     30.003    283.840     147.787    0.130000
228     0.001838934     0.002862932     282.030     147.580    321.511     30.036    0.130000
229     0.001636215     0.002808146     323.086     30.313    284.744     148.120    0.140000
230     0.001934036     0.002503266     322.101     30.153    276.095     147.342    0.140000
231     0.001698180     0.002559941     322.434     30.172    284.163     147.964    0.140000
232     0.001867877     0.002605908     283.610     147.834    323.463     30.416    0.130000
233     0.001691104     0.002707875     284.386     147.828    321.628     30.189    0.140000
234     0.001771903     0.002457469     286.283     148.138    321.896     30.071    0.130000
235     0.001932627     0.002722946     276.132     146.986    321.638     30.005    0.140000
236     0.001542378     0.002556478     276.458     146.969    323.239     30.283    0.130000
237     0.001624211     0.002737763     320.850     30.085    273.389     146.206    0.140000
238     0.001517189     0.002727520     279.913     147.614    321.909     30.047    0.140000
239     0.001776174     0.002725163     276.072     146.723    322.920     30.335    0.130000
240     0.001620622     0.002669521     278.436     147.187    321.474     30.043    0.130000
241     0.001615502     0.002651872     286.562     147.361    322.406     30.323    0.140000
242     0.001719976     0.002374524     283.047     147.992    316.392     30.017    0.130000
243     0.001782786     0.002851869     316.724     30.043    285.947     148.427    0.140000
244     0.001935883     0.002631232     283.819     148.315    314.573     30.049    0.130000
245     0.001818269     0.002651704     285.839     148.248    316.740     30.178    0.140000
246     0.001743436     0.002662680     286.177     148.551    316.703     30.101    0.130000
247     0.001907253     0.002633452     284.061     147.589    315.688     30.088    0.140000
248     0.001657157     0.002622912     317.158     30.437    284.057     147.675    0.140000
249     0.001702502     0.002452026     314.853     30.026    284.645     147.735    0.130000
250     0.001694832     0.002743634     313.488     30.044    284.230     147.767    0.140000
251     0.001775724     0.002632615     315.077     30.480    283.100     147.262    0.150000
252     0.001583721     0.002561106     310.755     30.544    282.666     147.282    0.120000
253     0.001640944     0.002442911     310.037     30.129    286.177     147.928    0.140000
254     0.001797333     0.002660343     311.216     30.079    284.612     147.540    0.140000
255     0.001698693     0.002643878     311.952     30.180    280.925     147.097    0.130000
256     0.001572242     0.002425737     310.145     30.049    265.567     142.965    0.140000
257     0.001313434     0.002670647     312.729     30.343    281.116     147.109    0.130000
258     0.002008722     0.002397451     314.638     30.447    279.410     146.590    0.140000
259     0.001520913     0.002505362     314.768     30.113    278.483     146.552    0.130000
260     0.001647570     0.002519812     311.042     30.027    282.798     147.943    0.130000
261     0.001822019     0.002537674     311.157     30.183    281.294     147.493    0.140000
262     0.001639180     0.002619270     313.480     30.305    278.737     146.885    0.140000
263     0.001650970     0.002498311     311.503     30.048    273.664     145.928    0.140000
264     0.001496189     0.002680725     309.779     30.215    261.808     142.364    0.130000
265     0.001332944     0.002669337     310.410     30.243    263.810     143.175    0.140000
266     0.001476523     0.002668895     313.885     30.003    255.518     140.604    0.130000
267     0.001360948     0.002640468     311.669     30.086    255.683     140.849    0.130000
268     0.001426017     0.002787638     310.442     30.331    254.050     141.337    0.140000
269     0.001491445     0.002482830     312.811     30.195    249.268     140.232    0.140000
270     0.001442603     0.002629091     308.265     30.013    242.785     138.838    0.130000
271     0.001381539     0.002786406     307.265     30.178    221.551     133.021    0.140000
272     0.001328934     0.002577979     308.857     30.457    224.755     134.897    0.130000
273     0.001488757     0.002596173     306.166     30.004    216.899     133.625    0.140000
274     0.001311728     0.002667771     308.801     30.647    214.590     134.155    0.140000
275     0.001444766     0.002338018     305.419     30.261    214.276     135.193    0.130000
276     0.001438901     0.002574914     306.691     30.097    229.285     140.982    0.130000
